1.txt, ham 
10.txt, ham 
100.txt, ham 
101.txt, ham 
102.txt, ham 
103.txt, ham 
104.txt, ham 
105.txt, ham 
106.txt, ham 
107.txt, ham 
108.txt, ham 
109.txt, ham 
11.txt, ham 
110.txt, ham 
111.txt, ham 
112.txt, ham 
113.txt, ham 
114.txt, ham 
115.txt, ham 
116.txt, ham 
117.txt, ham 
118.txt, ham 
119.txt, ham 
12.txt, ham 
120.txt, ham 
121.txt, ham 
122.txt, ham 
123.txt, ham 
124.txt, ham 
125.txt, ham 
126.txt, ham 
127.txt, ham 
128.txt, ham 
129.txt, ham 
13.txt, ham 
130.txt, ham 
131.txt, spam 
132.txt, spam 
133.txt, spam 
134.txt, spam 
135.txt, spam 
136.txt, ham 
137.txt, spam 
138.txt, spam 
139.txt, spam 
14.txt, ham 
140.txt, spam 
141.txt, spam 
142.txt, spam 
143.txt, spam 
144.txt, spam 
145.txt, spam 
146.txt, spam 
147.txt, spam 
148.txt, spam 
149.txt, spam 
15.txt, ham 
150.txt, spam 
151.txt, spam 
152.txt, spam 
153.txt, spam 
154.txt, spam 
155.txt, spam 
156.txt, spam 
157.txt, spam 
158.txt, spam 
159.txt, spam 
16.txt, ham 
160.txt, spam 
161.txt, spam 
162.txt, spam 
163.txt, spam 
164.txt, spam 
165.txt, spam 
166.txt, spam 
167.txt, spam 
168.txt, spam 
169.txt, spam 
17.txt, ham 
170.txt, spam 
171.txt, spam 
172.txt, spam 
173.txt, spam 
174.txt, spam 
175.txt, spam 
176.txt, spam 
177.txt, spam 
178.txt, spam 
179.txt, spam 
18.txt, ham 
180.txt, spam 
181.txt, spam 
182.txt, spam 
183.txt, spam 
184.txt, spam 
185.txt, spam 
186.txt, spam 
187.txt, spam 
188.txt, spam 
189.txt, spam 
19.txt, ham 
190.txt, spam 
191.txt, spam 
192.txt, spam 
193.txt, spam 
194.txt, spam 
195.txt, spam 
196.txt, spam 
197.txt, spam 
198.txt, spam 
199.txt, spam 
2.txt, ham 
20.txt, ham 
200.txt, spam 
201.txt, spam 
202.txt, spam 
203.txt, spam 
204.txt, spam 
205.txt, spam 
206.txt, spam 
207.txt, spam 
208.txt, spam 
209.txt, spam 
21.txt, ham 
210.txt, spam 
211.txt, spam 
212.txt, spam 
213.txt, spam 
214.txt, spam 
215.txt, spam 
216.txt, ham 
217.txt, spam 
218.txt, spam 
219.txt, spam 
22.txt, ham 
220.txt, spam 
221.txt, spam 
222.txt, spam 
223.txt, spam 
224.txt, spam 
225.txt, spam 
226.txt, spam 
227.txt, spam 
228.txt, spam 
229.txt, spam 
23.txt, ham 
230.txt, spam 
231.txt, spam 
232.txt, spam 
233.txt, spam 
234.txt, spam 
235.txt, spam 
236.txt, spam 
237.txt, spam 
238.txt, spam 
239.txt, spam 
24.txt, ham 
240.txt, spam 
241.txt, spam 
242.txt, spam 
243.txt, spam 
244.txt, spam 
245.txt, spam 
246.txt, spam 
247.txt, spam 
248.txt, spam 
249.txt, spam 
25.txt, ham 
250.txt, spam 
251.txt, spam 
252.txt, spam 
253.txt, spam 
254.txt, spam 
255.txt, spam 
256.txt, spam 
257.txt, spam 
258.txt, spam 
259.txt, spam 
26.txt, ham 
260.txt, spam 
27.txt, ham 
28.txt, ham 
29.txt, ham 
3.txt, ham 
30.txt, ham 
31.txt, ham 
32.txt, ham 
33.txt, ham 
34.txt, ham 
35.txt, ham 
36.txt, ham 
37.txt, ham 
38.txt, ham 
39.txt, ham 
4.txt, ham 
40.txt, ham 
41.txt, spam 
42.txt, ham 
43.txt, ham 
44.txt, ham 
45.txt, ham 
46.txt, spam 
47.txt, spam 
48.txt, ham 
49.txt, ham 
5.txt, ham 
50.txt, ham 
51.txt, ham 
52.txt, spam 
53.txt, ham 
54.txt, ham 
55.txt, spam 
56.txt, ham 
57.txt, ham 
58.txt, ham 
59.txt, ham 
6.txt, ham 
60.txt, ham 
61.txt, ham 
62.txt, ham 
63.txt, ham 
64.txt, ham 
65.txt, ham 
66.txt, ham 
67.txt, ham 
68.txt, ham 
69.txt, ham 
7.txt, ham 
70.txt, ham 
71.txt, ham 
72.txt, ham 
73.txt, ham 
74.txt, ham 
75.txt, ham 
76.txt, ham 
77.txt, ham 
78.txt, ham 
79.txt, ham 
8.txt, ham 
80.txt, ham 
81.txt, ham 
82.txt, ham 
83.txt, ham 
84.txt, ham 
85.txt, ham 
86.txt, ham 
87.txt, ham 
88.txt, ham 
89.txt, ham 
9.txt, ham 
90.txt, ham 
91.txt, ham 
92.txt, ham 
93.txt, ham 
94.txt, ham 
95.txt, ham 
96.txt, ham 
97.txt, ham 
98.txt, ham 
99.txt, ham 
